,mean,std,edge_density,label
0,0.755170036764706,0.14117947390318386,20.108642578125,1
1,0.590509152879902,0.24637204043735303,37.540283203125,0
2,0.3792655196844362,0.19784101877315893,39.034423828125,1
3,0.5314718807444851,0.168062184372186,26.6455078125,0
4,0.6659677542892157,0.2608451232960833,33.01116943359375,0
5,0.5766345454197304,0.20012878322109584,22.83233642578125,1
6,0.4842553232230392,0.23296568701225953,57.8668212890625,1
7,0.8878958907781863,0.18820229852032766,21.1669921875,1
8,0.47338651769301476,0.19032451794546842,29.15130615234375,0
9,0.42889523973651966,0.16484927182066936,27.4237060546875,1
10,0.33203268612132353,0.17246572549786807,28.46649169921875,0
11,0.5585027956495098,0.20595102092666856,18.94134521484375,0
12,0.638140988817402,0.17814924237092492,22.8790283203125,0
13,0.2544287588082108,0.24320991186654484,27.78167724609375,0
14,0.36931200214460785,0.27370605214016575,25.9295654296875,1
15,0.6597359451593137,0.15085271322979454,32.85552978515625,0
16,0.426299929151348,0.22439541493794524,28.24859619140625,1
17,0.3480449601715686,0.16701749937860108,51.8902587890625,1
18,0.38981215533088237,0.16088377513483199,14.1943359375,0
19,0.6837093577665441,0.19084541172310357,41.898193359375,0
20,0.4473709405637255,0.2118298581248369,50.90972900390625,0
21,0.5502953622855392,0.3042803317063773,19.37713623046875,0
22,0.36399739583333335,0.2475593011402422,21.99188232421875,0
23,0.4536357804840686,0.24821684888924422,33.85162353515625,0
24,0.4198084214154411,0.22883039549141046,25.52490234375,1
25,0.3190874885110294,0.232972768374881,36.5130615234375,0
26,0.39176288679534316,0.2549987234380287,14.70794677734375,1
27,0.5800249885110295,0.2390084465494061,31.7193603515625,1
28,0.3917564242493873,0.19044007283355158,26.56768798828125,0
29,0.3866692038143382,0.24220814687236866,29.18243408203125,1
30,0.49954307406556364,0.23545389088057384,45.1666259765625,0
31,0.4558155732996323,0.29481264863294065,37.83599853515625,1
32,0.44021690219056375,0.17547573542046635,18.00750732421875,0
33,0.5185810163909313,0.21769562428516476,23.20587158203125,0
34,0.5750844918045344,0.25025648949837975,46.61407470703125,0
35,0.28568689682904413,0.21990081124310162,31.51702880859375,0
36,0.3735251034007353,0.19790631086183524,40.528564453125,1
37,0.33773648131127454,0.19625647008808864,29.80499267578125,0
38,0.6156216490502451,0.21897711173726292,72.85491943359375,1
